,LCCN,DATE,POS,NEG,NEU,COMP,STATE-TIME,,,,,,,
0,sn83030483,17890422,0.089,0.054,0.857,0.9976,PA-1776.1790,,,,,,17890422,0.089
0,sn83030483,17890425,0.179,0.016,0.805,0.9999,PA-1776.1790,,,,,,17890425,0.179
0,sn83030483,17890425,0.147,0.074,0.779,0.9995,PA-1776.1790,,,,,,17890425,0.147
0,sn83030483,17890425,0.088,0.039,0.873,0.9991,PA-1776.1790,,,,,,17890425,0.088
0,sn83030483,17890506,0.084,0.05,0.866,0.9989,PA-1776.1790,,,,,,17890506,0.084
0,sn83030483,17890506,0.077,0.098,0.824,-0.9954,PA-1776.1790,,,,,,17890506,-0.098
0,sn83030483,17890509,0.115,0.039,0.846,0.9998,PA-1776.1790,,,,,,17890509,0.115
0,sn83030483,17890513,0.12,0.074,0.806,0.9988,PA-1776.1790,,,,,,17890513,0.12
0,sn83030483,17890513,0.12,0.023,0.857,0.9998,PA-1776.1790,,,,,,17890513,0.12
0,sn83030483,17890516,0.119,0.028,0.853,0.9998,PA-1776.1790,,,,,,17890516,0.119
0,sn83030483,17890516,0.079,0.038,0.883,0.9976,PA-1776.1790,,,,,,17890516,0.079
0,sn83030483,17890516,0.143,0.083,0.774,0.9995,PA-1776.1790,,,,,,17890516,0.143
0,sn83030483,17890520,0.083,0.056,0.862,0.9961,PA-1776.1790,,,,,,17890520,0.083
0,sn83030483,17890523,0.119,0.054,0.827,0.9996,PA-1776.1790,,,,,,17890523,0.119
0,sn83030483,17890527,0.116,0.053,0.831,0.9997,PA-1776.1790,,,,,,17890527,0.116
0,sn83030483,17890527,0.106,0.073,0.82,0.9982,PA-1776.1790,,,,,,17890527,0.106
0,sn83030483,17890530,0.095,0.034,0.871,0.9996,PA-1776.1790,,,,,,17890530,0.095
0,sn83030483,17890523,0.075,0.03,0.895,0.9982,PA-1776.1790,,,,,,17890523,0.075
0,sn83030483,17890603,0.098,0.084,0.819,0.9886,PA-1776.1790,,,,,,17890603,0.098
0,sn83030483,17890603,0.074,0.049,0.877,0.9953,PA-1776.1790,,,,,,17890603,0.074
0,sn83030483,17890603,0.116,0.055,0.829,0.9994,PA-1776.1790,,,,,,17890603,0.116
0,sn83030483,17890606,0.132,0.098,0.769,0.9979,PA-1776.1790,,,,,,17890606,0.132
0,sn83030483,17890606,0.188,0.018,0.794,0.9999,PA-1776.1790,,,,,,17890606,0.188
0,sn83030483,17890610,0.154,0.065,0.78,0.9997,PA-1776.1790,,,,,,17890610,0.154
0,sn83030483,17890613,0.167,0.071,0.761,0.9998,PA-1776.1790,,,,,,17890613,0.167
0,sn83030483,17890627,0.093,0.049,0.858,0.9995,PA-1776.1790,,,,,,17890627,0.093
0,sn83030483,17890617,0.125,0.056,0.819,0.9997,PA-1776.1790,,,,,,17890617,0.125
0,sn83030483,17890704,0.115,0.036,0.85,0.9999,PA-1776.1790,,,,,,17890704,0.115
0,sn83030483,17890704,0.15,0.061,0.789,0.9998,PA-1776.1790,,,,,,17890704,0.15
0,sn83030483,17890708,0.079,0.026,0.896,0.9991,PA-1776.1790,,,,,,17890708,0.079
0,sn83030483,17890715,0.116,0.081,0.803,0.9988,PA-1776.1790,,,,,,17890715,0.116
0,sn83030483,17890722,0.131,0.077,0.792,0.9994,PA-1776.1790,,,,,,17890722,0.131
0,sn83030483,17890725,0.128,0.052,0.82,0.9997,PA-1776.1790,,,,,,17890725,0.128
0,sn83030483,17890725,0.091,0.051,0.858,0.9982,PA-1776.1790,,,,,,17890725,0.091
0,sn83030483,17890805,0.112,0.098,0.79,0.9734,PA-1776.1790,,,,,,17890805,0.112
0,sn83030483,17890808,0.088,0.059,0.852,0.9972,PA-1776.1790,,,,,,17890808,0.088
0,sn83030483,17890808,0.136,0.08,0.784,0.9994,PA-1776.1790,,,,,,17890808,0.136
0,sn83030483,17890812,0.143,0.05,0.807,0.9997,PA-1776.1790,,,,,,17890812,0.143
0,sn83030483,17890819,0.104,0.043,0.853,0.9995,PA-1776.1790,,,,,,17890819,0.104
0,sn83030483,17890829,0.135,0.065,0.8,0.9997,PA-1776.1790,,,,,,17890829,0.135
0,sn83030483,17890902,0.104,0.063,0.833,0.9986,PA-1776.1790,,,,,,17890902,0.104
0,sn83030483,17890905,0.096,0.042,0.862,0.9994,PA-1776.1790,,,,,,17890905,0.096
0,sn83030483,17890909,0.101,0.05,0.849,0.9993,PA-1776.1790,,,,,,17890909,0.101
0,sn83030483,17890912,0.113,0.036,0.851,0.9998,PA-1776.1790,,,,,,17890912,0.113
0,sn83030483,17890912,0.049,0.023,0.927,0.9959,PA-1776.1790,,,,,,17890912,0.049
0,sn83030483,17890912,0.171,0.054,0.775,0.9999,PA-1776.1790,,,,,,17890912,0.171
0,sn83030483,17890916,0.118,0.033,0.849,0.9999,PA-1776.1790,,,,,,17890916,0.118
0,sn83030483,17890926,0.111,0.04,0.85,0.9992,PA-1776.1790,,,,,,17890926,0.111
0,sn83030483,17890930,0.107,0.038,0.856,0.9994,PA-1776.1790,,,,,,17890930,0.107
0,sn83030483,17891007,0.074,0.029,0.897,0.9968,PA-1776.1790,,,,,,17891007,0.074
0,sn83030483,17891010,0.127,0.054,0.819,0.9995,PA-1776.1790,,,,,,17891010,0.127
0,sn83030483,17891014,0.099,0.071,0.83,0.997,PA-1776.1790,,,,,,17891014,0.099
0,sn83030483,17891017,0.132,0.071,0.797,0.9997,PA-1776.1790,,,,,,17891017,0.132
0,sn83030483,17891028,0.094,0.017,0.89,0.9996,PA-1776.1790,,,,,,17891028,0.094
